SL,Timestamp,Age,Sex identity,In which university do you study?,Do you have knowledge regarding the current situation of the COVID-19 pandemic?,Where do you get most of the information regarding the COVID-19?,Are you worried about getting infected by the COVID-19?,Are you worried that your family members would get infected by COVID-19?,How do you feel about measures taken to prevent the spread of the COVID-19 in Bangladesh?,Are you worried about getting proper treatment if you are infected by covid-19?,"Before the lockdown, how often did you feel nervous or stressed?",Are your Studies being affected due to the lockdown?,Do you feel without the help of friends and teachers your studies are being affected?,Do you feel online classes are helping you in study?,Do you feel the lockdown is setting you back from your study goals? ,"Before lockdown, how often did you feel confident about your ability to handle your personal problems?",Where is your current location?,Which division do you live in?,Are you living with your family? ,What is the total monthly income of your family?,As a student have you ever been involved in any of the extracurricular activities during lockdown?,"Feeling nervous, anxious or on edge?","Feeling down, depressed, or hopeless?"
50,05-06-20 22:50,2,1,1,1,6,2,0,0,1,1,0,0,0,1,4,2,1,0,2,0,1,0
51,05-06-20 22:54,2,1,2,1,5,1,1,0,1,1,1,1,0,2,3,2,1,1,2,0,1,1
52,05-06-20 22:54,2,1,2,1,1,1,1,2,1,4,1,1,0,1,0,2,6,1,1,1,1,0
53,05-06-20 22:55,2,1,2,1,6,2,0,2,1,0,1,1,1,0,4,1,3,0,1,0,1,1
54,05-06-20 22:55,2,1,1,1,6,1,1,0,1,2,1,0,1,1,4,2,3,1,5,1,1,1
55,05-06-20 22:55,2,1,1,1,1,0,0,2,1,4,0,1,1,1,4,1,1,1,1,1,0,1
56,05-06-20 22:56,3,1,1,1,6,1,1,2,1,2,1,1,0,1,3,2,3,1,2,0,1,1
57,05-06-20 22:57,2,1,1,1,1,1,1,0,1,2,1,1,1,1,4,1,6,1,2,0,1,1
58,05-06-20 22:59,1,1,1,1,6,1,1,2,1,2,1,1,0,0,2,1,2,1,2,1,1,1
59,05-06-20 22:59,2,2,1,1,5,1,1,2,1,3,1,1,2,1,1,2,3,1,3,1,1,1
60,05-06-20 22:59,2,1,1,1,6,1,1,0,0,1,1,1,0,1,4,2,1,1,1,0,1,0
61,05-06-20 23:00,2,2,1,1,5,1,1,0,1,1,1,1,2,1,4,1,1,1,5,0,1,1
62,05-06-20 23:00,2,1,1,1,1,1,1,2,1,2,1,1,0,1,4,2,2,1,1,0,1,1
63,05-06-20 23:02,2,1,2,1,6,1,1,0,2,2,1,1,0,1,2,2,3,1,2,0,1,1
64,05-06-20 23:02,3,1,1,1,3,1,1,2,1,1,0,0,2,1,4,2,3,1,3,1,1,0
65,05-06-20 23:03,2,1,1,1,5,1,1,2,1,1,1,1,0,0,2,2,3,1,3,0,1,1
66,05-06-20 23:06,2,2,1,1,1,1,1,2,1,2,1,1,1,1,3,1,4,1,1,0,1,0
67,05-06-20 23:07,1,1,1,1,5,1,1,2,1,1,1,1,2,1,4,2,3,1,3,1,1,0
68,05-06-20 23:08,2,1,1,1,1,1,1,2,1,2,1,1,0,1,4,2,1,1,1,0,1,1
69,05-06-20 23:10,2,1,1,1,1,0,0,2,1,2,1,1,0,2,3,2,4,1,5,1,1,1
70,05-06-20 23:11,2,2,1,1,6,0,1,0,1,2,1,1,2,1,2,1,2,1,1,0,1,1
71,05-06-20 23:13,1,1,1,1,4,1,1,0,1,0,1,0,0,0,0,2,1,1,1,0,1,1
72,05-06-20 23:14,1,2,1,1,6,1,1,2,1,2,1,1,0,1,4,2,1,1,1,0,1,0
73,05-06-20 23:14,2,2,1,1,1,1,1,0,1,1,0,1,1,1,3,2,1,1,4,0,1,1
74,05-06-20 23:15,2,1,1,0,1,0,1,2,1,2,0,0,0,1,2,1,1,1,5,0,1,0
75,05-06-20 23:16,3,1,1,1,2,1,1,2,1,2,1,1,2,1,4,2,3,1,2,0,1,1
76,05-06-20 23:18,2,2,1,1,6,2,2,0,2,1,1,1,0,1,4,2,3,1,3,1,0,1
77,05-06-20 23:19,1,2,1,1,6,0,0,0,1,1,1,1,2,1,3,1,1,1,3,0,1,1
78,05-06-20 23:20,2,2,2,0,5,1,1,0,2,2,1,1,0,1,3,2,3,1,2,1,1,1
79,05-06-20 23:21,2,1,1,1,1,1,1,2,1,0,1,1,0,1,4,1,1,0,3,1,1,0
80,05-06-20 23:25,2,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0
81,05-06-20 23:29,2,1,2,1,6,1,1,2,1,2,1,1,0,1,2,1,3,1,1,0,1,0
82,05-06-20 23:31,2,1,1,1,7,1,1,1,1,1,0,0,0,0,4,1,3,0,2,1,0,0
83,05-06-20 23:32,2,2,2,1,1,2,1,0,2,1,0,0,0,0,4,2,3,1,5,0,1,1
84,05-06-20 23:33,3,2,1,1,1,1,1,0,1,2,1,1,1,1,0,2,3,1,4,0,1,1
85,05-06-20 23:34,2,2,2,1,1,2,1,0,2,1,0,0,0,0,4,2,3,1,5,0,1,1
86,05-06-20 23:35,2,2,1,1,6,1,1,2,1,4,1,1,0,1,2,2,1,1,4,1,0,1
87,05-06-20 23:35,2,2,2,1,1,2,1,0,2,1,0,0,0,0,4,2,3,1,5,0,1,1
88,05-06-20 23:36,3,2,1,1,1,2,1,2,1,1,1,0,0,1,4,2,4,1,3,0,1,1
89,05-06-20 23:36,2,1,1,1,6,1,1,2,1,3,0,0,0,0,2,2,1,1,2,1,1,0
90,05-06-20 23:42,2,1,2,1,1,1,1,2,2,1,1,1,0,1,0,2,4,1,4,0,1,0
91,05-06-20 23:43,2,2,1,1,6,1,1,2,1,2,1,1,0,1,3,2,3,1,2,0,1,1
92,05-06-20 23:47,2,2,1,1,1,1,1,2,1,1,1,1,2,1,3,2,4,1,5,1,1,1
93,05-06-20 23:48,2,2,1,1,6,1,1,0,1,1,1,1,2,1,4,2,1,1,1,0,1,1
94,05-06-20 23:48,2,1,1,1,1,1,1,0,1,1,1,1,2,1,4,1,3,1,1,0,1,1
95,05-06-20 23:50,2,2,1,1,1,1,1,2,1,3,1,2,0,2,3,2,3,1,4,0,1,1
96,05-06-20 23:51,2,2,1,1,6,2,2,0,1,1,1,1,0,1,3,2,3,1,5,1,1,0
97,05-06-20 23:53,2,1,1,1,1,1,1,2,1,3,1,1,0,1,3,2,1,1,1,0,1,1
98,05-06-20 23:53,2,1,1,1,1,1,1,2,1,2,1,1,0,1,4,2,1,1,1,0,1,1
99,05-06-20 23:55,2,1,1,1,5,1,1,2,1,4,2,2,0,1,0,1,4,1,1,0,0,0
100,05-06-20 23:56,1,1,1,1,6,1,1,2,2,2,1,1,2,1,2,1,8,1,1,0,1,1
101,05-06-20 23:57,2,1,1,1,1,1,1,2,1,2,1,1,0,1,4,2,1,1,1,0,1,1
102,05-06-20 23:59,2,1,1,1,1,0,0,2,1,2,1,1,0,0,2,1,1,1,3,1,1,0
103,05-07-20 0:03,2,2,1,1,1,1,1,2,1,2,1,1,2,1,4,2,1,1,2,0,1,1
104,05-07-20 0:04,1,1,1,1,3,2,1,2,1,0,2,0,0,0,2,2,1,1,1,0,0,0
105,05-07-20 0:04,2,1,1,1,6,1,1,2,1,3,1,1,0,1,3,2,4,0,3,0,1,1
106,05-07-20 0:05,2,1,2,1,1,1,2,2,1,3,1,1,0,1,4,2,1,1,2,1,1,1
107,05-07-20 0:11,2,1,1,1,1,2,2,0,1,0,1,0,1,0,1,2,3,1,2,1,1,0
108,05-07-20 0:13,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,1,1,1,0,1,1
109,05-07-20 0:21,2,1,2,1,5,1,1,2,1,2,1,1,0,1,2,2,3,1,4,0,1,1
110,05-07-20 0:24,2,1,1,1,1,1,1,2,1,1,1,1,0,1,2,2,3,1,3,0,1,1
111,05-07-20 0:26,1,2,1,1,6,1,1,0,1,3,1,1,2,0,3,2,3,1,1,1,0,0
112,05-07-20 0:30,2,1,1,1,3,2,2,0,1,2,1,1,2,1,4,1,1,1,2,2,0,0
113,05-07-20 0:32,2,2,1,1,1,2,1,2,1,2,0,1,0,1,2,2,3,1,5,0,1,1
114,05-07-20 0:34,2,2,1,1,3,2,1,2,1,4,1,1,2,1,4,2,1,1,1,0,1,1
115,05-07-20 0:37,2,1,1,1,6,2,0,2,1,2,0,0,0,1,4,2,1,1,3,0,1,0
116,05-07-20 0:39,2,1,1,1,1,1,1,1,1,2,1,1,0,1,2,1,1,1,1,0,1,1
117,05-07-20 0:41,2,2,1,1,6,2,1,2,1,4,2,2,2,0,3,2,1,1,3,1,1,1
118,05-07-20 0:42,2,1,1,1,1,2,2,2,1,1,1,1,2,1,4,2,7,1,2,1,0,0
119,05-07-20 0:47,2,1,1,1,1,1,1,2,1,1,1,1,2,1,3,2,2,1,3,0,1,1
120,05-07-20 0:48,2,2,1,1,1,2,1,2,1,3,1,1,0,1,3,2,3,1,5,1,1,1
121,05-07-20 0:48,2,2,1,1,1,2,1,2,1,3,1,1,0,1,3,2,3,1,5,1,1,1
122,05-07-20 0:48,2,2,1,1,2,1,1,2,1,3,0,1,2,1,2,2,4,1,2,0,1,1
123,05-07-20 0:54,2,1,1,1,6,2,1,2,1,2,1,1,2,1,4,2,4,1,1,0,1,1
124,05-07-20 1:25,2,1,1,1,1,2,1,2,1,2,1,0,2,0,1,1,1,1,5,0,1,1
125,05-07-20 2:40,2,1,1,1,6,2,2,0,1,1,1,0,0,1,4,2,3,1,1,1,1,1
126,05-07-20 2:50,3,2,2,1,6,1,1,2,1,1,1,1,0,1,4,2,3,1,5,1,1,1
127,05-07-20 3:14,2,1,1,1,6,1,0,2,1,2,0,1,0,0,4,1,6,1,1,1,1,1
128,05-07-20 3:38,2,2,1,1,6,0,1,2,1,1,1,1,0,1,3,2,1,1,4,0,1,1
129,05-07-20 3:47,2,2,1,1,6,1,2,2,2,2,1,1,0,1,4,1,7,1,1,1,1,1
130,05-07-20 3:48,2,1,1,1,6,1,2,0,1,2,1,1,0,1,2,1,4,1,1,0,1,1
131,05-07-20 3:52,2,1,1,1,1,2,2,0,1,1,1,1,0,1,3,1,1,1,1,0,1,0
132,05-07-20 4:03,1,1,1,1,1,0,1,0,1,4,1,1,0,1,4,1,6,1,2,1,1,1
133,05-07-20 4:03,1,1,1,1,1,0,1,0,1,4,1,1,0,1,4,1,6,1,2,1,1,1
134,05-07-20 4:04,1,1,1,1,1,0,1,0,1,4,1,1,0,1,4,1,6,1,2,1,1,1
135,05-07-20 4:40,2,1,1,1,6,2,1,2,1,1,1,1,0,1,3,2,3,1,2,1,1,1
136,05-07-20 4:45,2,2,1,1,6,1,1,2,1,0,0,1,0,1,0,1,4,1,1,0,1,1
137,05-07-20 5:08,2,1,1,1,4,1,1,2,1,2,1,0,0,1,3,1,7,1,3,0,1,1
138,05-07-20 6:43,2,2,2,1,5,2,1,2,1,2,1,1,0,1,4,2,3,1,2,1,1,1
139,05-07-20 6:57,3,2,2,1,4,0,0,1,1,2,0,0,1,1,4,2,3,1,5,0,1,1
140,05-07-20 7:34,2,1,1,1,1,1,1,0,1,1,1,1,0,1,4,1,1,1,2,1,1,1
141,05-07-20 8:00,1,2,2,1,1,1,1,2,1,0,1,1,0,1,2,2,3,1,5,0,1,1
142,05-07-20 8:14,3,2,1,1,1,1,1,2,1,2,0,1,2,1,2,1,2,1,1,0,0,1
143,05-07-20 8:20,1,2,1,1,1,1,1,0,1,1,1,1,0,1,4,1,1,1,3,0,1,1
144,05-07-20 8:23,2,2,1,1,6,1,1,2,1,4,1,1,0,1,4,1,3,1,3,0,1,1
145,05-07-20 8:40,2,2,1,0,6,2,2,2,2,1,1,0,0,1,4,1,2,1,1,1,1,1
146,05-07-20 8:42,1,1,2,1,3,1,1,0,1,2,1,1,0,2,2,2,3,1,2,1,1,1
147,05-07-20 9:45,2,1,1,1,4,2,1,2,1,1,1,2,0,1,3,2,2,1,1,0,1,1
148,05-07-20 9:57,2,1,1,1,5,0,1,1,1,0,1,1,0,0,2,1,6,1,1,1,1,1
149,05-07-20 9:59,1,1,1,1,4,1,1,0,1,2,1,1,1,2,4,1,1,1,1,0,1,1
150,05-07-20 10:13,2,1,1,1,6,1,1,2,1,2,0,1,0,0,4,1,4,1,5,1,0,0
151,05-07-20 10:45,2,1,2,1,6,1,1,0,1,2,1,1,1,1,3,1,1,1,1,1,1,1
