SL,Timestamp,Age,Sex identity,In which university do you study?,Do you have knowledge regarding the current situation of the COVID-19 pandemic?,Where do you get most of the information regarding the COVID-19?,Are you worried about getting infected by the COVID-19?,Are you worried that your family members would get infected by COVID-19?,How do you feel about measures taken to prevent the spread of the COVID-19 in Bangladesh?,Are you worried about getting proper treatment if you are infected by covid-19?,"Before the lockdown, how often did you feel nervous or stressed?",Are your Studies being affected due to the lockdown?,Do you feel without the help of friends and teachers your studies are being affected?,Do you feel online classes are helping you in study?,Do you feel the lockdown is setting you back from your study goals? ,"Before lockdown, how often did you feel confident about your ability to handle your personal problems?",Where is your current location?,Which division do you live in?,Are you living with your family? ,What is the total monthly income of your family?,As a student have you ever been involved in any of the extracurricular activities during lockdown?,"Feeling nervous, anxious or on edge?","Feeling down, depressed, or hopeless?"
221,05-08-20 14:07,2,2,1,1,6,0,0,0,1,2,1,1,1,1,2,1,3,1,1,0,1,1
222,05-08-20 14:07,2,2,1,1,1,1,1,0,1,2,1,1,0,1,1,2,3,1,4,0,1,1
223,05-08-20 14:16,2,1,1,1,1,1,1,2,1,2,1,1,2,1,4,2,6,1,2,1,1,0
224,05-08-20 14:20,2,1,1,1,1,1,1,0,1,1,1,1,0,1,4,1,1,1,5,0,1,0
225,05-08-20 14:24,2,1,1,1,1,2,1,0,2,2,1,0,1,1,4,2,1,1,1,0,1,1
226,05-08-20 14:25,2,1,1,1,1,1,1,0,1,3,1,1,0,1,3,1,1,1,2,0,1,1
227,05-08-20 14:34,1,2,1,1,6,1,1,0,1,2,1,1,0,1,3,2,1,1,2,0,1,1
228,05-08-20 14:38,2,2,1,1,5,1,1,0,1,1,2,0,2,0,3,1,3,1,2,0,1,0
229,05-08-20 14:41,2,1,1,1,1,1,1,2,1,1,1,1,2,1,3,2,2,1,3,0,1,1
230,05-08-20 14:41,2,2,1,1,1,0,0,0,1,1,0,1,0,2,0,1,1,1,2,0,0,1
231,05-08-20 14:55,2,1,1,1,6,0,0,1,1,0,1,1,0,1,3,1,3,1,1,1,1,1
232,05-08-20 15:05,2,1,1,1,2,1,1,0,1,2,1,1,1,1,3,1,6,1,2,0,0,1
233,05-08-20 15:06,1,1,1,1,5,1,1,2,1,1,1,1,2,1,4,2,1,1,1,1,1,1
234,05-08-20 15:09,1,2,1,1,6,1,1,0,1,4,1,1,1,0,2,2,2,1,1,0,1,1
235,05-08-20 15:21,2,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1
236,05-08-20 15:25,2,1,1,1,4,2,2,2,1,1,1,1,0,1,4,2,3,1,5,0,0,0
237,05-08-20 15:29,2,1,1,1,6,1,1,2,1,1,1,1,0,1,3,1,6,1,2,1,1,1
238,05-08-20 15:29,2,2,1,1,5,1,1,0,1,1,1,1,1,1,4,2,3,1,4,1,1,1
239,05-08-20 15:31,1,2,1,1,1,0,1,1,1,0,1,1,0,1,3,2,3,1,4,0,1,1
240,05-08-20 15:31,2,1,2,1,1,1,1,2,1,2,1,1,0,1,3,2,3,1,5,0,1,1
241,05-08-20 15:36,1,1,1,1,7,2,2,0,2,2,0,1,0,2,2,2,1,1,2,0,1,0
242,05-08-20 15:40,1,2,1,1,6,2,1,0,1,2,1,1,0,1,4,2,3,1,1,0,1,0
243,05-08-20 15:42,2,2,2,1,1,1,1,0,1,2,1,1,1,0,4,2,1,1,3,1,1,1
244,05-08-20 15:46,2,1,1,1,6,1,1,2,1,2,0,1,2,1,4,1,1,1,2,1,1,1
245,05-08-20 15:46,1,2,1,1,6,1,1,2,1,2,1,1,0,1,3,2,3,1,3,1,1,1
246,05-08-20 15:47,2,1,1,1,3,0,1,1,1,3,1,1,0,1,3,1,1,1,2,0,1,1
247,05-08-20 15:54,1,1,1,1,1,0,1,0,1,0,0,1,0,1,2,1,2,1,1,0,0,1
248,05-08-20 15:57,2,1,1,1,1,0,1,2,1,4,1,1,0,0,0,2,3,1,5,0,1,1
249,05-08-20 16:32,2,1,1,1,5,1,1,0,1,1,1,1,0,1,3,2,3,1,5,0,0,1
250,05-08-20 16:37,2,1,1,1,1,1,1,2,1,1,1,1,0,2,2,2,2,1,1,1,1,1
251,05-08-20 16:53,3,2,1,1,5,0,1,2,1,1,1,1,0,1,4,1,1,1,2,1,1,1
252,05-08-20 16:58,3,1,1,1,3,2,1,2,1,2,0,0,0,0,2,2,1,1,1,0,1,0
253,05-08-20 17:04,2,1,1,1,1,1,1,2,1,0,1,1,0,1,3,2,1,1,3,1,1,0
254,05-08-20 17:14,1,2,1,1,1,0,0,0,1,3,1,1,2,2,2,2,4,1,5,1,0,1
255,05-08-20 17:49,2,2,1,2,7,2,2,1,0,4,2,2,2,2,2,1,2,1,5,2,0,0
256,05-08-20 17:50,2,2,1,1,6,1,1,0,1,4,1,1,1,1,4,1,2,1,5,0,1,1
257,05-08-20 18:01,2,1,1,1,5,1,1,0,1,1,1,1,1,0,4,1,4,1,5,1,1,0
258,05-08-20 18:13,2,1,1,1,6,1,1,1,1,2,1,1,1,0,0,1,1,1,2,1,1,1
259,05-08-20 18:16,1,1,1,1,6,1,1,0,1,4,1,1,0,1,2,2,6,1,3,0,1,1
260,05-08-20 18:26,2,1,1,1,5,1,1,0,2,4,1,0,0,1,4,2,3,0,1,0,1,1
261,05-08-20 18:40,2,1,1,1,6,1,1,2,1,4,1,1,0,0,4,1,1,1,2,0,1,1
262,05-08-20 19:09,2,2,1,1,6,1,1,2,1,1,1,1,0,1,4,1,1,1,2,0,0,0
263,05-08-20 19:22,2,1,1,1,6,2,2,0,1,1,0,0,0,0,2,2,6,1,2,0,0,0
264,05-08-20 19:29,3,1,1,1,1,2,2,2,1,2,1,1,0,1,2,2,4,1,3,0,1,1
265,05-08-20 19:31,2,1,2,1,1,0,1,0,1,4,1,1,1,1,2,1,8,0,5,1,1,1
266,05-08-20 19:31,2,1,1,1,6,2,1,0,1,1,1,1,0,1,3,1,1,1,1,0,1,1
267,05-08-20 19:34,1,1,1,1,6,1,1,2,1,4,0,1,1,0,4,2,1,1,5,1,0,1
268,05-08-20 19:39,2,2,1,1,6,1,1,0,1,2,1,1,0,2,4,2,1,1,1,1,1,1
269,05-08-20 19:43,2,2,1,1,1,1,1,2,1,1,2,0,0,0,2,2,3,1,4,1,1,1
270,05-08-20 19:48,2,2,1,1,1,1,1,2,1,1,1,1,0,1,1,2,1,1,5,1,0,0
271,05-08-20 19:57,1,1,1,1,1,1,1,0,1,2,0,1,2,0,4,2,3,1,2,1,0,1
272,05-08-20 19:59,1,1,1,1,1,1,2,2,1,2,0,0,0,0,2,1,6,1,2,0,1,0
273,05-08-20 20:00,2,1,1,1,1,1,1,2,1,1,0,1,0,1,3,1,4,1,1,0,1,1
274,05-08-20 20:00,1,2,1,1,1,1,1,2,1,1,2,1,0,1,4,2,1,1,5,0,1,1
275,05-08-20 20:03,2,1,1,1,5,1,1,2,1,3,1,1,0,1,3,1,1,1,1,1,1,1
276,05-08-20 20:04,2,1,1,1,3,2,1,2,1,2,1,1,2,1,3,2,6,1,1,0,1,1
277,05-08-20 20:06,2,1,1,1,4,1,1,0,1,0,1,1,1,1,4,2,1,1,1,0,0,0
278,05-08-20 20:07,1,1,1,1,4,0,0,0,2,2,1,1,2,1,2,1,1,1,1,1,1,0
279,05-08-20 20:07,2,2,1,1,5,1,1,2,1,2,1,1,2,1,2,2,1,1,2,1,1,1
280,05-08-20 20:09,2,1,1,1,1,1,1,2,1,2,1,1,0,1,4,2,1,1,1,0,1,1
281,05-08-20 20:13,1,1,1,1,3,2,1,1,1,1,1,2,2,1,3,2,6,1,3,1,1,1
282,05-08-20 20:16,1,2,1,1,5,1,1,2,1,2,1,1,0,1,3,2,3,1,3,0,1,1
283,05-08-20 20:16,1,1,1,1,1,1,1,0,1,1,1,1,0,0,4,2,3,1,4,0,1,0
284,05-08-20 20:20,1,1,1,1,2,1,1,0,2,0,1,0,0,0,3,2,6,1,1,1,1,0
285,05-08-20 20:24,1,1,1,1,1,2,2,2,1,1,1,1,2,1,3,2,6,1,3,0,0,0
286,05-08-20 20:25,1,1,1,1,6,1,1,0,1,2,1,1,0,1,3,2,3,1,5,1,0,1
287,05-08-20 20:27,1,1,1,1,1,1,1,2,1,4,1,1,0,1,0,1,1,1,1,1,0,0
288,05-08-20 20:29,2,1,1,1,1,0,1,2,1,1,0,1,0,0,4,2,3,1,3,0,1,0
289,05-08-20 20:36,2,1,1,1,5,2,1,2,1,0,1,0,2,1,4,2,6,1,2,0,1,1
290,05-08-20 20:39,2,1,1,1,1,0,0,2,1,0,0,1,0,1,2,2,3,1,5,1,0,1
291,05-08-20 20:41,2,1,1,1,6,1,1,2,1,1,1,1,0,1,0,1,6,1,1,0,1,1
292,05-08-20 20:41,2,1,1,1,1,2,1,2,1,2,0,1,2,1,4,2,7,1,2,1,1,1
293,05-08-20 20:43,1,1,1,1,1,1,1,2,1,3,1,1,1,1,2,2,6,1,3,1,1,1
294,05-08-20 20:49,2,1,1,1,1,2,2,2,1,1,0,0,0,0,4,2,6,1,2,0,1,1
295,05-08-20 20:49,1,2,1,1,6,1,1,2,1,2,2,2,2,1,4,2,3,1,4,0,1,0
296,05-08-20 20:50,1,1,1,1,5,1,1,2,1,2,0,1,0,1,4,2,4,1,2,1,1,0
297,05-08-20 20:52,2,1,1,1,5,1,1,2,1,2,2,1,0,0,4,2,3,1,2,1,0,1
298,05-08-20 20:53,1,2,1,1,6,1,1,0,1,4,1,1,1,2,2,1,1,1,3,1,1,1
299,05-08-20 21:02,2,1,1,1,1,1,1,2,1,2,2,2,2,0,3,2,6,1,2,0,1,1
300,05-08-20 21:04,2,1,1,1,1,2,1,2,1,3,0,0,0,0,3,2,3,1,4,1,1,1
301,05-08-20 21:12,2,1,1,1,4,1,1,2,1,4,0,0,1,0,3,1,6,1,2,1,1,1
302,05-08-20 21:12,2,1,1,1,6,1,2,0,1,1,0,1,0,0,1,2,3,1,3,0,1,1
303,05-08-20 21:15,2,1,1,1,6,1,1,2,1,2,1,0,2,1,4,2,6,1,1,0,1,0
304,05-08-20 21:15,1,1,1,1,1,1,1,2,1,2,1,1,2,2,3,1,6,1,1,0,1,1
305,05-08-20 21:16,1,1,1,1,1,1,1,2,1,2,1,1,0,1,3,2,6,1,5,1,1,1
306,05-08-20 21:17,1,1,1,1,1,0,1,2,1,3,0,0,1,0,1,2,6,1,5,1,1,1
307,05-08-20 21:20,2,2,1,1,1,1,1,2,1,2,1,0,1,0,3,1,8,1,5,1,1,1
308,05-08-20 21:26,2,2,1,1,6,1,1,2,1,2,1,1,0,1,3,2,6,1,3,1,1,1
309,05-08-20 21:29,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,6,1,1,1,1,1
310,05-08-20 21:31,2,1,1,1,1,1,1,2,1,2,1,1,0,1,4,2,1,1,1,0,1,1
311,05-08-20 21:32,1,1,1,1,3,2,1,2,1,0,1,1,0,1,2,2,3,1,1,0,1,1
312,05-08-20 21:33,1,2,1,1,6,1,1,1,1,2,1,1,2,2,1,2,3,1,4,0,1,1
313,05-08-20 21:33,2,1,1,1,1,1,1,2,1,2,1,1,0,1,3,2,5,1,5,1,1,1
314,05-08-20 21:34,1,1,1,1,1,2,1,2,1,2,1,1,0,1,4,1,6,1,4,0,1,1
315,05-08-20 21:34,2,1,1,1,1,1,1,0,1,3,1,1,0,0,3,2,3,1,3,0,1,1
316,05-08-20 21:35,2,1,1,1,5,1,1,2,1,2,1,1,1,1,2,1,3,1,1,1,1,1
317,05-08-20 21:39,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,6,1,1,0,1,1
318,05-08-20 21:40,1,1,1,1,6,1,1,2,1,3,1,1,0,0,4,2,3,1,2,1,1,1
319,05-08-20 21:40,2,1,1,1,5,1,1,2,1,2,1,1,0,1,4,2,6,1,5,0,1,1
320,05-08-20 21:43,2,2,1,1,6,1,1,2,1,1,1,2,0,1,3,2,3,1,2,1,0,1
321,05-08-20 21:43,1,2,1,1,6,1,1,0,1,4,1,1,2,1,4,2,6,1,1,0,1,1
322,05-08-20 21:43,1,1,1,1,1,1,2,0,1,2,1,1,0,1,3,2,6,1,1,1,1,1
323,05-08-20 21:44,1,1,1,1,6,1,1,2,1,4,1,1,0,1,2,1,7,1,1,1,1,0
324,05-08-20 21:48,1,1,1,2,1,1,1,0,2,4,1,1,2,1,4,2,6,1,2,0,1,1
325,05-08-20 21:52,2,1,1,1,4,1,1,1,0,3,2,2,0,0,3,1,6,1,5,1,0,0
326,05-08-20 21:54,1,1,1,1,5,1,1,2,1,2,1,1,0,0,4,1,2,1,1,0,0,0
327,05-08-20 21:54,2,1,1,1,1,2,2,0,2,2,2,2,2,2,1,2,3,1,4,0,1,1
328,05-08-20 21:54,1,1,2,1,5,1,1,0,2,2,1,1,0,0,3,1,3,1,4,0,1,1
329,05-08-20 21:55,1,1,1,1,5,2,1,0,1,3,1,2,2,1,2,2,3,1,3,1,0,1
330,05-08-20 21:55,1,1,1,2,1,0,0,2,1,2,0,1,1,0,4,1,3,1,1,0,1,1
331,05-08-20 21:58,1,1,1,1,1,1,1,0,1,0,2,1,2,0,1,2,6,1,4,0,1,1
332,05-08-20 21:58,1,1,1,1,6,1,1,2,1,3,1,2,2,1,0,2,3,1,5,2,1,1
333,05-08-20 21:59,2,1,1,1,1,2,1,2,1,1,1,1,2,1,4,1,3,1,2,1,0,0
334,05-08-20 22:02,1,1,1,1,1,2,2,2,2,1,1,1,2,1,3,1,6,1,4,0,0,0
335,05-08-20 22:03,1,2,1,1,1,1,1,2,1,2,0,1,0,1,3,2,6,1,5,1,1,1
336,05-08-20 22:03,2,1,1,1,6,1,1,0,1,3,1,1,0,0,0,2,3,1,1,1,0,1
337,05-08-20 22:04,2,1,1,1,6,1,1,0,2,2,1,1,1,1,4,2,6,1,5,0,0,0
338,05-08-20 22:04,2,1,1,1,6,2,1,0,1,1,0,2,1,0,3,2,3,1,5,1,1,1
339,05-08-20 22:05,1,1,1,1,5,1,1,2,1,2,1,1,0,1,4,2,6,1,2,0,0,0
340,05-08-20 22:11,2,2,1,1,1,1,1,0,1,2,1,1,0,0,2,2,6,1,1,1,1,1
341,05-08-20 22:12,2,2,2,1,7,1,1,0,0,4,0,1,0,2,2,2,3,1,4,0,1,1
342,05-08-20 22:14,2,2,1,1,6,2,1,0,1,2,1,1,2,1,3,2,2,1,1,1,1,1
343,05-08-20 22:16,1,1,1,1,5,0,1,2,0,3,1,1,2,1,3,2,3,1,2,0,1,0
344,05-08-20 22:20,2,1,1,1,5,1,1,2,1,3,1,1,0,1,2,1,3,1,1,2,1,1
345,05-08-20 22:21,1,1,1,1,1,1,1,2,1,2,2,2,0,1,3,2,3,1,5,1,1,1
346,05-08-20 22:25,2,1,1,1,6,2,1,2,1,1,1,0,2,1,3,2,6,1,2,0,0,0
347,05-08-20 22:26,2,2,1,1,1,1,1,1,1,2,1,1,2,1,3,2,6,1,3,1,1,0
348,05-08-20 22:27,1,2,1,1,1,1,1,2,1,2,1,1,0,1,2,2,6,1,4,0,1,1
349,05-08-20 22:29,2,1,1,1,5,1,1,2,1,2,1,1,0,1,2,2,6,1,5,1,1,1
350,05-08-20 22:37,2,1,1,1,1,1,1,2,1,2,1,1,0,1,4,2,1,1,1,0,1,1
351,05-08-20 22:42,3,1,1,1,1,1,1,0,1,3,1,1,2,1,1,2,1,1,5,0,1,1
352,05-08-20 22:52,2,1,1,1,1,1,1,0,1,2,1,1,0,1,2,2,1,1,1,0,1,1
353,05-08-20 22:54,3,1,1,1,1,1,1,2,1,1,1,0,0,1,4,2,1,1,1,1,1,1
354,05-08-20 22:57,2,1,1,1,1,2,1,2,1,2,1,1,2,1,4,2,6,1,2,1,1,1
355,05-08-20 22:58,3,1,1,1,1,2,1,0,1,0,1,1,0,1,4,2,3,1,5,0,0,1
356,05-08-20 23:05,1,1,1,1,6,1,1,1,2,2,1,1,2,1,3,1,6,1,2,0,0,1
357,05-08-20 23:09,3,1,1,1,5,0,2,2,1,3,1,1,0,1,0,1,4,1,2,1,1,1
358,05-08-20 23:18,1,2,1,1,1,1,1,0,1,2,1,1,2,1,2,2,6,1,5,1,1,1
359,05-08-20 23:31,1,1,1,1,3,0,2,0,1,0,2,2,1,0,4,2,6,1,4,0,0,0
360,05-08-20 23:26,2,1,1,1,5,1,1,2,1,2,1,2,0,1,4,2,7,1,1,0,1,1
361,05-08-20 23:29,2,1,2,1,6,1,1,2,1,0,1,1,0,0,4,2,1,1,3,1,1,1
362,05-08-20 23:31,3,1,1,1,5,1,1,2,1,0,1,1,0,1,2,1,1,1,1,1,1,1
363,05-08-20 23:33,2,1,1,1,6,1,1,0,1,1,1,1,0,1,4,2,6,1,2,0,1,1
364,05-08-20 23:41,1,1,1,1,3,2,1,0,1,4,1,1,0,2,0,2,6,1,2,0,1,1
365,05-08-20 23:44,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,2,3,1,2,0,1,0
366,05-08-20 23:48,2,2,1,1,1,2,1,2,1,2,2,2,0,2,3,2,3,1,4,0,1,1
367,05-09-20 0:06,1,2,1,1,6,2,1,0,1,3,1,2,0,1,2,1,4,1,2,0,1,1
368,05-09-20 0:25,1,1,1,1,4,0,1,2,1,4,0,0,0,0,2,2,1,1,3,1,1,1
369,05-09-20 1:04,2,1,1,1,1,1,1,2,1,1,1,2,0,1,3,2,3,1,5,0,0,1
370,05-09-20 1:12,1,1,1,1,1,1,1,0,1,1,0,1,0,1,2,2,6,1,2,1,1,1
371,05-09-20 1:34,2,1,1,1,4,1,1,2,1,1,1,1,0,1,4,2,6,1,4,0,1,0
372,05-09-20 1:34,2,1,1,1,4,1,1,2,1,1,1,1,0,1,4,2,6,1,4,0,1,0
373,05-09-20 1:34,2,1,1,1,4,1,1,2,1,1,1,1,0,1,4,2,6,1,4,0,1,0
374,05-09-20 1:45,3,1,1,1,1,1,1,0,2,0,1,1,0,1,4,1,6,1,1,1,1,0
375,05-09-20 2:07,3,1,1,1,1,2,1,2,1,2,0,0,0,1,1,2,1,1,1,0,1,1
376,05-09-20 2:17,2,2,1,1,1,1,1,0,1,2,1,1,2,2,3,1,1,1,2,1,1,1
377,05-09-20 2:20,2,1,1,1,1,2,2,2,1,0,1,1,0,0,3,2,6,1,3,1,0,0
378,05-09-20 3:13,2,1,2,1,6,0,1,2,1,1,1,1,0,1,4,1,1,1,1,1,1,1
379,05-09-20 3:27,2,2,1,1,1,1,1,0,1,1,0,0,2,1,1,2,6,1,5,0,1,0
380,05-09-20 4:01,1,1,1,1,5,1,1,2,1,0,1,1,2,1,4,2,6,1,5,0,1,0
381,05-09-20 4:42,1,1,1,1,4,0,0,0,0,0,0,1,2,1,4,2,6,1,1,0,1,1
382,05-09-20 5:47,1,1,1,2,6,2,2,2,1,2,2,2,0,0,4,2,3,1,4,1,1,0
383,05-09-20 8:27,2,2,1,1,4,1,1,2,1,4,1,1,0,1,1,1,1,1,1,1,1,1
384,05-09-20 10:05,2,1,1,1,5,1,1,2,1,2,1,1,0,1,4,2,1,1,1,1,1,1
385,05-09-20 10:40,1,2,1,2,1,1,1,2,1,2,1,1,1,1,2,1,6,1,3,0,1,1
386,05-09-20 13:44,2,2,1,1,1,1,1,0,2,2,0,1,1,2,4,2,1,1,3,0,1,1
387,05-09-20 13:58,3,1,1,1,1,1,1,2,1,2,1,1,0,1,4,2,1,1,4,0,1,1
388,05-09-20 14:16,2,1,1,1,5,1,1,0,1,1,1,1,1,1,1,2,3,1,3,1,1,0
389,05-09-20 14:31,2,2,1,1,1,0,1,2,1,4,1,1,0,1,1,2,6,1,5,0,1,1
390,05-09-20 14:32,2,2,1,1,5,0,1,1,1,1,1,1,2,1,4,2,1,1,1,0,0,0
391,05-09-20 14:35,2,1,1,1,6,1,1,0,2,1,1,1,1,1,3,2,4,1,2,1,1,0
392,05-09-20 14:36,2,2,1,1,6,2,1,0,1,1,0,0,1,0,4,2,1,1,2,0,0,1
393,05-09-20 14:39,2,1,1,1,1,2,1,0,1,2,0,2,0,1,2,1,1,1,1,1,0,0
394,05-09-20 14:48,2,1,1,2,7,2,1,0,1,2,1,2,2,0,2,2,1,1,5,0,0,0
395,05-09-20 14:49,2,2,1,1,1,1,1,0,1,2,1,1,2,2,3,2,5,1,2,0,1,1
396,05-09-20 14:57,2,1,1,1,7,0,0,2,1,0,1,0,0,1,4,1,1,1,1,1,0,0
397,05-09-20 15:00,2,2,1,1,7,1,1,2,1,2,1,1,0,0,4,1,1,1,3,0,1,1
398,05-09-20 15:04,2,2,1,1,3,1,1,2,1,1,1,1,0,1,4,1,1,1,3,0,1,1
399,05-09-20 15:23,2,1,1,1,5,1,1,0,1,2,1,1,1,1,3,2,4,1,4,0,1,1
400,05-09-20 15:23,2,1,1,1,5,1,1,0,1,2,1,1,1,1,3,2,4,1,4,0,1,1
401,05-09-20 16:10,2,2,1,1,6,2,1,2,1,2,1,1,0,1,4,2,4,1,2,0,1,1
402,05-09-20 16:23,2,1,1,1,1,2,2,2,2,2,0,0,0,2,1,1,7,1,3,0,1,1
403,05-09-20 16:29,2,2,1,1,6,1,1,0,1,2,1,1,0,0,3,2,1,1,2,1,1,1
404,05-09-20 17:13,1,2,1,1,6,1,1,1,1,1,1,1,0,1,4,2,6,1,4,0,1,1
405,05-09-20 17:55,2,1,1,1,1,1,1,2,1,1,1,1,0,1,4,2,3,1,2,0,1,1
406,05-09-20 18:28,2,1,1,1,6,1,1,1,1,4,1,1,0,1,4,2,1,1,1,1,1,1
407,05-09-20 19:01,2,2,1,1,6,1,1,0,1,2,0,1,0,1,2,1,1,1,1,0,1,1
408,05-09-20 19:04,2,1,1,1,5,2,1,2,1,3,1,1,0,0,2,2,1,1,5,0,1,1
409,05-09-20 19:18,1,1,1,1,1,2,2,0,1,0,1,1,0,1,4,1,1,1,4,0,0,0
410,05-09-20 19:26,2,1,1,1,6,1,1,2,1,1,0,1,0,1,4,1,1,1,1,0,1,1
411,05-09-20 19:56,2,1,1,1,1,1,1,0,1,2,1,1,0,1,4,1,1,1,1,0,1,1
412,05-09-20 20:00,3,2,1,1,6,1,1,2,0,2,1,2,1,1,0,2,1,1,4,1,0,1
413,05-09-20 20:02,2,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1
414,05-09-20 21:28,2,1,1,1,6,1,1,0,1,2,1,1,0,1,4,1,6,1,5,0,1,0
415,05-09-20 21:39,2,2,2,2,6,2,1,2,2,0,1,1,0,1,4,1,5,1,3,0,1,1
416,05-09-20 21:41,2,1,1,1,1,0,1,2,1,2,0,0,0,0,4,1,4,1,1,0,0,0
417,05-09-20 21:56,2,1,1,1,6,1,1,0,1,2,1,1,0,1,4,2,3,1,5,0,1,1
418,05-09-20 21:58,1,1,2,1,5,2,1,0,1,1,1,1,2,1,3,1,1,1,4,0,0,1
419,05-09-20 22:12,2,1,1,1,1,1,1,0,1,2,1,1,0,1,1,2,3,1,1,0,1,1
420,05-09-20 22:39,2,1,1,1,6,1,1,0,1,3,1,1,2,1,4,1,4,1,1,0,1,1
421,05-09-20 22:55,3,1,1,1,1,2,1,2,1,1,0,1,0,0,4,2,2,1,4,0,1,1
422,05-09-20 23:01,2,1,1,1,1,1,1,2,1,2,1,1,0,1,4,2,1,1,1,0,1,1
423,05-09-20 23:02,2,1,1,1,6,1,1,0,2,2,1,1,1,1,2,1,7,1,2,0,1,1
424,05-09-20 23:30,2,1,1,1,6,2,2,0,1,2,1,1,0,0,4,1,1,1,1,0,1,1
425,05-10-20 0:32,2,1,1,1,1,1,1,2,1,2,1,1,0,1,4,2,1,1,1,0,1,1
426,05-10-20 0:38,2,1,1,1,7,1,1,2,1,0,1,1,0,1,4,2,3,1,2,1,0,0
427,05-10-20 1:23,3,1,1,1,6,2,1,0,1,1,1,1,0,1,3,2,3,1,2,1,1,0
428,05-10-20 6:15,1,1,1,1,6,1,1,0,0,1,1,1,0,1,2,2,3,1,3,1,1,1
429,05-10-20 13:02,1,1,1,1,5,2,1,2,1,2,1,2,0,1,3,2,3,1,4,0,1,1
430,05-10-20 15:06,2,1,1,1,1,1,1,2,1,1,0,1,0,1,4,1,6,1,5,1,1,0
431,05-10-20 15:09,2,1,1,1,6,1,1,0,1,2,1,1,2,2,2,1,1,1,1,0,0,0
432,05-10-20 15:10,2,2,1,1,1,2,1,0,1,1,1,1,0,1,4,2,1,1,1,1,1,1
433,05-10-20 15:17,2,1,1,1,6,1,1,2,2,2,1,1,0,1,4,2,3,1,5,0,0,0
434,05-10-20 15:18,2,1,1,1,6,0,2,0,1,1,1,1,0,1,1,2,1,1,5,1,1,1
435,05-10-20 15:20,2,1,1,1,6,1,1,0,1,1,1,1,0,2,2,2,1,1,1,0,1,1
436,05-10-20 16:18,2,1,1,1,1,2,2,0,1,2,1,2,0,1,3,1,3,1,1,0,1,1
437,05-10-20 16:38,2,1,1,1,6,1,1,0,1,1,1,1,0,1,2,2,1,1,1,0,1,1
438,05-10-20 16:48,2,1,1,1,5,1,1,2,1,2,1,1,2,1,2,2,2,1,2,0,1,1
439,05-10-20 16:50,2,2,1,1,5,1,1,1,1,3,1,1,0,1,3,1,1,1,5,0,1,1
440,05-10-20 16:59,2,1,1,1,6,2,2,0,2,3,1,2,2,0,2,2,3,1,5,1,0,1
441,05-10-20 16:59,2,2,1,1,6,1,1,2,1,1,1,1,2,2,4,2,3,1,4,0,1,1
442,05-10-20 17:01,2,2,1,1,1,1,1,2,1,2,1,1,0,1,3,2,4,1,4,0,0,1
443,05-10-20 17:07,2,1,1,1,6,1,1,0,1,3,1,1,0,1,4,1,1,1,1,1,1,1
444,05-10-20 17:13,1,1,1,1,6,1,1,0,1,2,0,1,0,1,2,1,1,1,1,0,1,1
445,05-10-20 17:14,2,1,1,1,1,2,1,2,2,0,1,1,2,1,4,1,1,1,5,0,1,1
446,05-10-20 17:14,2,1,1,1,6,1,1,2,1,2,0,2,0,0,3,2,3,1,4,0,1,1
447,05-10-20 17:20,1,1,1,1,6,1,1,2,1,1,1,0,0,1,1,2,6,1,1,0,1,1
448,05-10-20 17:36,2,1,1,1,6,1,1,2,1,0,1,1,0,1,4,1,3,1,5,0,1,1
449,05-10-20 17:46,1,2,1,1,1,1,1,2,1,2,0,1,0,1,4,2,1,1,3,0,0,1
450,05-10-20 17:46,1,2,1,1,1,1,1,2,1,2,0,1,0,1,4,2,1,1,3,0,0,1
451,05-10-20 18:01,2,1,1,1,3,2,1,2,1,2,1,1,0,1,3,2,3,1,3,0,0,1
452,05-10-20 18:09,2,1,1,1,6,1,1,2,1,1,1,1,0,1,2,1,1,1,3,0,1,1
453,05-10-20 18:23,2,2,1,1,6,1,1,0,1,1,1,0,0,1,0,2,3,1,3,0,1,0
454,05-10-20 18:27,3,1,1,1,5,1,1,0,1,2,1,1,2,1,3,2,3,1,1,1,1,1
455,05-10-20 18:43,1,1,1,1,4,1,0,0,1,2,0,1,2,2,4,1,3,1,1,1,1,1
456,05-10-20 18:59,2,1,2,1,4,1,1,2,1,0,0,1,0,0,4,1,2,1,2,1,1,1
457,05-10-20 19:15,2,1,1,1,6,2,1,2,1,2,1,0,0,1,3,2,3,1,1,0,1,1
458,05-10-20 19:19,2,1,1,1,1,1,1,2,1,1,1,1,0,1,3,2,1,1,3,0,1,1
459,05-10-20 19:22,2,1,1,1,1,2,1,0,1,2,1,0,0,1,2,2,3,1,5,1,0,1
460,05-10-20 19:24,3,1,1,1,3,2,1,2,1,1,1,1,0,1,4,2,1,1,4,1,0,0
461,05-10-20 19:27,2,1,2,1,6,1,1,2,1,3,1,1,0,1,4,2,6,0,1,1,1,1
462,05-10-20 19:27,1,2,1,1,5,1,1,2,1,4,1,1,1,1,2,2,3,1,4,1,1,1
